team,matches_played,wins,losses,win_percentage,total_runs,batting_avg_score,total_wickets,bowling_avg_wickets,pace_wickets,spin_wickets
0.0,138,148,-10,107.24637681159422,41974,304.15942028985506,1623,11.76086956521739,1397,92
1.0,122,111,11,90.98360655737704,38035,311.76229508196724,1466,12.01639344262295,1230,85
2.0,21,28,-7,133.33333333333331,7757,369.3809523809524,298,14.19047619047619,258,17
3.0,118,127,-9,107.62711864406779,38346,324.96610169491527,1415,11.991525423728813,1196,89
4.0,22,24,-2,109.09090909090908,7510,341.3636363636364,264,12.0,237,11
5.0,119,139,-20,116.80672268907564,41190,346.1344537815126,1541,12.949579831932773,1312,97
6.0,120,108,12,90.0,38642,322.01666666666665,1367,11.391666666666667,1192,66
7.0,137,116,21,84.67153284671532,39342,287.1678832116788,1442,10.525547445255475,1240,76
8.0,113,120,-7,106.19469026548674,38634,341.8938053097345,1387,12.274336283185841,1166,87
9.0,122,111,11,90.98360655737704,39523,323.9590163934426,1465,12.008196721311476,1274,66
